text_id	seq	span_s	span_e
wannabeyourspecial	1	2013-12-02 04:00:00 +0900	2013-12-27 17:00:00 +0900
touchofgold	2	2013-12-02 04:00:00 +0900	2013-12-27 17:00:00 +0900
amenootoganijiwoyobu	3	2013-12-02 04:00:00 +0900	2013-12-27 17:00:00 +0900
kimitomusic	1	2013-12-27 17:00:00 +0900	2014-01-31 17:00:00 +0900
landingonthemoon	2	2013-12-27 17:00:00 +0900	2014-01-31 17:00:00 +0900
dirtymouth	3	2013-12-27 17:00:00 +0900	2014-01-31 17:00:00 +0900
aqualight	1	2014-01-31 17:00:00 +0900	2014-03-01 04:00:00 +0900
wanyowanyo	2	2014-01-31 17:00:00 +0900	2014-03-01 04:00:00 +0900
hontonowatashi	3	2014-01-31 17:00:00 +0900	2014-03-01 04:00:00 +0900
jahacid	1	2014-03-01 04:00:00 +0900	2014-04-01 04:00:00 +0900
whatiswrongwiththeworld	2	2014-03-01 04:00:00 +0900	2014-04-01 04:00:00 +0900
loveless	3	2014-03-01 04:00:00 +0900	2014-04-01 04:00:00 +0900
binaryoverdrive	1	2014-04-01 04:00:00 +0900	2014-05-01 04:00:00 +0900
mikakuninxxseimeitai	2	2014-04-01 04:00:00 +0900	2014-05-01 04:00:00 +0900
otherside	3	2014-04-01 04:00:00 +0900	2014-05-01 04:00:00 +0900
hi	1	2014-05-01 04:00:00 +0900	2014-06-01 04:00:00 +0900
anomie	2	2014-05-01 04:00:00 +0900	2014-06-01 04:00:00 +0900
breakdown	3	2014-05-01 04:00:00 +0900	2014-06-01 04:00:00 +0900
impact	1	2014-06-01 04:00:00 +0900	2014-07-01 04:00:00 +0900
lotuslove	2	2014-06-01 04:00:00 +0900	2014-07-01 04:00:00 +0900
kimitomusic	3	2014-06-01 04:00:00 +0900	2014-07-01 04:00:00 +0900
wasteland	1	2014-07-01 04:00:00 +0900	2014-08-01 04:00:00 +0900
whenyoucallmyname	2	2014-07-01 04:00:00 +0900	2014-08-01 04:00:00 +0900
theepic	3	2014-07-01 04:00:00 +0900	2014-08-01 04:00:00 +0900
lotuslove	4	2014-07-01 04:00:00 +0900	2014-08-01 04:00:00 +0900
wannabeyourspecial	1	2014-08-01 04:00:00 +0900	2014-09-01 04:00:00 +0900
freakwithme	2	2014-08-01 04:00:00 +0900	2014-09-01 04:00:00 +0900
azitate	3	2014-08-01 04:00:00 +0900	2014-09-01 04:00:00 +0900
whenyoucallmyname	4	2014-08-01 04:00:00 +0900	2014-09-01 04:00:00 +0900
touchofgold	1	2014-09-01 04:00:00 +0900	2014-10-01 04:00:00 +0900
aqualight	2	2014-09-01 04:00:00 +0900	2014-10-01 04:00:00 +0900
dazzlingseason	3	2014-09-01 04:00:00 +0900	2014-10-01 04:00:00 +0900
wannabeyourspecial	4	2014-09-01 04:00:00 +0900	2014-10-01 04:00:00 +0900
touchofgold	1	2014-10-01 04:00:00 +0900	2014-11-01 04:00:00 +0900
amenootoganijiwoyobu	2	2014-10-01 04:00:00 +0900	2014-11-01 04:00:00 +0900
anomie	3	2014-10-01 04:00:00 +0900	2014-11-01 04:00:00 +0900
nextfrontier	4	2014-10-01 04:00:00 +0900	2014-11-01 04:00:00 +0900
amenootoganijiwoyobu	1	2014-11-01 04:00:00 +0900	2014-12-01 04:00:00 +0900
landingonthemoon	2	2014-11-01 04:00:00 +0900	2014-12-01 04:00:00 +0900
freakwithme	3	2014-11-01 04:00:00 +0900	2014-12-01 04:00:00 +0900
otherside	4	2014-11-01 04:00:00 +0900	2014-12-01 04:00:00 +0900
theepic	5	2014-11-01 04:00:00 +0900	2014-12-01 04:00:00 +0900
freakwithme	1	2014-12-01 04:00:00 +0900	2015-01-01 04:00:00 +0900
azitate	2	2014-12-01 04:00:00 +0900	2015-01-01 04:00:00 +0900
landingonthemoon	3	2014-12-01 04:00:00 +0900	2015-01-01 04:00:00 +0900
diamondskin	4	2014-12-01 04:00:00 +0900	2015-01-01 04:00:00 +0900
aerial	5	2014-12-01 04:00:00 +0900	2015-01-01 04:00:00 +0900
freakwithme	1	2015-01-01 04:00:00 +0900	2015-02-01 04:00:00 +0900
diamondskin	2	2015-01-01 04:00:00 +0900	2015-02-01 04:00:00 +0900
everkrack	3	2015-01-01 04:00:00 +0900	2015-02-01 04:00:00 +0900
aqualight	4	2015-01-01 04:00:00 +0900	2015-02-01 04:00:00 +0900
impact	5	2015-01-01 04:00:00 +0900	2015-02-01 04:00:00 +0900
wanyowanyo	1	2015-02-01 04:00:00 +0900	2015-03-01 04:00:00 +0900
diamondskin	2	2015-02-01 04:00:00 +0900	2015-03-01 04:00:00 +0900
dazzlingseason	3	2015-02-01 04:00:00 +0900	2015-03-01 04:00:00 +0900
everkrack	4	2015-02-01 04:00:00 +0900	2015-03-01 04:00:00 +0900
saigono1page	5	2015-02-01 04:00:00 +0900	2015-03-01 04:00:00 +0900
giantkilling	1	2015-03-01 04:00:00 +0900	2015-04-01 04:00:00 +0900
wanyowanyo	2	2015-03-01 04:00:00 +0900	2015-04-01 04:00:00 +0900
hontonowatashi	3	2015-03-01 04:00:00 +0900	2015-04-01 04:00:00 +0900
everkrack	4	2015-03-01 04:00:00 +0900	2015-04-01 04:00:00 +0900
remilkyway	5	2015-03-01 04:00:00 +0900	2015-04-01 04:00:00 +0900
wanyowanyo	1	2015-04-01 04:00:00 +0900	2015-05-01 04:00:00 +0900
hontonowatashi	2	2015-04-01 04:00:00 +0900	2015-05-01 04:00:00 +0900
justicefromguilty	3	2015-04-01 04:00:00 +0900	2015-05-01 04:00:00 +0900
saigono1page	4	2015-04-01 04:00:00 +0900	2015-05-01 04:00:00 +0900
breakdown	5	2015-04-01 04:00:00 +0900	2015-05-01 04:00:00 +0900
hontonowatashi	1	2015-05-01 04:00:00 +0900	2015-06-01 04:00:00 +0900
justicefromguilty	2	2015-05-01 04:00:00 +0900	2015-06-01 04:00:00 +0900
loveless	3	2015-05-01 04:00:00 +0900	2015-06-01 04:00:00 +0900
mikakuninxxseimeitai	4	2015-05-01 04:00:00 +0900	2015-06-01 04:00:00 +0900
lotuslove	5	2015-05-01 04:00:00 +0900	2015-06-01 04:00:00 +0900
loveless	1	2015-06-01 04:00:00 +0900	2015-07-01 04:00:00 +0900
dirtymouth	2	2015-06-01 04:00:00 +0900	2015-07-01 04:00:00 +0900
winteragain	3	2015-06-01 04:00:00 +0900	2015-07-01 04:00:00 +0900
justicefromguilty	4	2015-06-01 04:00:00 +0900	2015-07-01 04:00:00 +0900
crossangel	5	2015-06-01 04:00:00 +0900	2015-07-01 04:00:00 +0900
loveless	1	2015-07-01 04:00:00 +0900	2015-08-01 04:00:00 +0900
dirtymouth	2	2015-07-01 04:00:00 +0900	2015-08-01 04:00:00 +0900
hi	3	2015-07-01 04:00:00 +0900	2015-08-01 04:00:00 +0900
eternally	4	2015-07-01 04:00:00 +0900	2015-08-01 04:00:00 +0900
whatiswrongwiththeworld	5	2015-07-01 04:00:00 +0900	2015-08-01 04:00:00 +0900
dirtymouth	1	2015-08-01 04:00:00 +0900	2015-09-01 04:00:00 +0900
